profile_id,candidate_id,design_id,design_index,activity_pair,activity,partner_activity,topology,distance_a,doping,angle_deg,variant_id,selected_method,adsorption_energy_ev,activation_metric_ev,reaction_energy_ev,scan_energy_range_ev,frame_count,converged_frames,score,max_force_ev_per_a
c5946ea0_catalase,c5946ea0,x4,4,Catalase + Oxidase,Catalase,Oxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN1 SCF fallback,0.1259521667939225,4.078539454685142,4.078539454685142,4.078539454685142,5,5,0.7546373938118777,0.0457322307151332
c5946ea0_oxidase,c5946ea0,x4,4,Catalase + Oxidase,Oxidase,Catalase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,GFN2 deep,-0.9033381468368588,0.0,-0.2229645928600803,0.5755817999156534,5,5,0.7546373938118777,0.0457322307151332
827a743e_glucose_oxidase,827a743e,x5,5,Glucose Oxidase + Peroxidase,Glucose Oxidase,Peroxidase,independent adjacent,7.0,S,45,x5_adjacent_d7.0_s_a45,GFN1 SCF fallback,2.470525747809233,2.2851754383236766,-0.7986960204298157,3.0838714587534923,5,5,0.7918777347216225,0.0426238215600781
827a743e_peroxidase,827a743e,x5,5,Glucose Oxidase + Peroxidase,Peroxidase,Glucose Oxidase,independent adjacent,7.0,S,45,x5_adjacent_d7.0_s_a45,GFN2 deep,0.2935033450069113,0.491919863030489,-0.0042877637529272,0.6964246120883217,5,5,0.7918777347216225,0.0426238215600781
58cd660c_catalase,58cd660c,x6,6,Catalase + Oxidase,Catalase,Oxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,0.2299073830054112,2.907849035110303,2.907849035110303,2.963579903398568,5,5,0.7674535508442413,0.0499571861593251
58cd660c_oxidase,58cd660c,x6,6,Catalase + Oxidase,Oxidase,Catalase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 extended,-1.6481497498302815,0.0,-3.974301911702241,4.444014953018268,5,5,0.7674535508442413,0.0499571861593251
644a5e9e_catalase,644a5e9e,x6,6,Catalase + DNase,Catalase,DNase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,0.2006642295000347,2.358709265824473,-2.1618964927120032,4.520605758536476,5,5,0.79162884005849,0.0494446051586617
8f21a96c_catalase,8f21a96c,x6,6,Catalase + Peroxidase,Catalase,Peroxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,0.2221059582884663,1.8557801706601824,1.8557801706601824,1.968779562194868,5,5,0.7135186588029985,0.0481473505631837
8f21a96c_peroxidase,8f21a96c,x6,6,Catalase + Peroxidase,Peroxidase,Catalase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 extended,-0.7253429690658777,0.0,-4.346018993765028,4.346018993765028,5,5,0.7135186588029985,0.0481473505631837
9034c955_peroxidase,9034c955,x6,6,DNase + Peroxidase,Peroxidase,DNase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,0.1174955040823988,0.0,-2.902293068218569,2.902293068218569,5,5,0.7252559231095277,0.0492924478743026
dcdce03b_oxidase,dcdce03b,x6,6,Oxidase + Peroxidase,Oxidase,Peroxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,-0.9606806175656856,0.0,-0.5487744561642103,0.7326089812431746,5,5,0.6957815301412007,0.0497582693803342
dcdce03b_peroxidase,dcdce03b,x6,6,Oxidase + Peroxidase,Peroxidase,Oxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN1 SCF fallback,0.4942671198932657,0.0,-5.621778579965394,5.621778579965394,5,5,0.6957815301412007,0.0497582693803342
ffb513b8_dnase,ffb513b8,x6,6,DNase + Oxidase,DNase,Oxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN2 deep,1.82354957660948,2.8916888151552484,2.8916888151552484,2.8916888151552484,25,25,0.7679908398064379,0.0493897735642952
ffb513b8_oxidase,ffb513b8,x6,6,DNase + Oxidase,Oxidase,DNase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,GFN2 deep,-1.058308091304525,0.0,-4.724306544279898,4.724306544279898,5,5,0.7679908398064379,0.0493897735642952
59355fe9_oxidase,59355fe9,x7,7,Oxidase + Peroxidase,Oxidase,Peroxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,GFN2 deep,0.4671428943113369,0.0,-3.351241815881167,3.6416147692216327,5,5,0.716533767189964,0.044571238578968
59355fe9_peroxidase,59355fe9,x7,7,Oxidase + Peroxidase,Peroxidase,Oxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,GFN1 extended,0.1726301729559054,1.0969313623040762,-2.7042906758033496,3.8012220381074258,5,5,0.716533767189964,0.044571238578968
9905dc81_glutathione_peroxidase,9905dc81,x7,7,Glutathione Peroxidase + Oxidase,Glutathione Peroxidase,Oxidase,independent adjacent,8.0,N,105,x7_adjacent_d8.0_n_a105,GFN2 deep,1.83569339725409,2.513656454185366,2.513656454185366,4.737909488593687,5,5,0.7662855346312418,0.0373743284707951
