candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a,complete_profile_count,retained_profile_activities
743e7dc9,x8,8,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7442265740494882,0.0487866171239061,2,Glutathione Peroxidase; Oxidase
62533915,x8,8,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7425385990968407,0.0439318728532364,2,Glutathione Peroxidase; Peroxidase
fdf94907,x8,8,Oxidase + Peroxidase,independent adjacent,8.8,N,135,x8_adjacent_d8.8_n_a135,0.7425385990968407,0.0439318728532364,2,Oxidase; Peroxidase
41f9b430,x8,8,Catalase + Glutathione Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.7442415550185244,0.0425786782323362,2,Catalase; Glutathione Peroxidase
8384434b,x8,8,Catalase + Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.7442415550185244,0.0425786782323362,2,Catalase; Oxidase
ec1fc219,x8,8,Glutathione Peroxidase + Oxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6856936513620201,0.0445319554623031,2,Glutathione Peroxidase; Oxidase
2f771f22,x8,8,Glutathione Peroxidase + Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6678353125968473,0.0481506288060205,2,Glutathione Peroxidase; Peroxidase
50b2bb19,x8,8,Oxidase + Peroxidase,independent separated,12.0,N,135,x8_separated_d12.0_n_a135,0.6678353125968473,0.0481506288060205,2,Oxidase; Peroxidase
042041a3,x9,9,Glutathione Peroxidase + Oxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7246071187606817,0.0489499897212995,2,Glutathione Peroxidase; Oxidase
0b54c61a,x9,9,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7581283354886068,0.045975618639446,2,Glutathione Peroxidase; Peroxidase
956589f6,x9,9,Oxidase + Peroxidase,independent separated,13.0,NS,15,x9_separated_d13.0_ns_a15,0.7581283354886068,0.045975618639446,2,Oxidase; Peroxidase
a9e31d5e,x12,12,Catalase + Glutathione Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7708651024442542,0.0474276851029011,2,Catalase; Glutathione Peroxidase
2c7aacac,x12,12,Catalase + Oxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7708651024442542,0.0474276851029011,2,Catalase; Oxidase
f6a53996,x12,12,Catalase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7686061435418896,0.0493679385411829,2,Catalase; Peroxidase
28e1d313,x12,12,Glutathione Peroxidase + Oxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7330025036998372,0.0462584044829098,2,Glutathione Peroxidase; Oxidase
93feb5ab,x12,12,Glutathione Peroxidase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7362679116430233,0.0456204633735634,2,Glutathione Peroxidase; Peroxidase
36b1c272,x12,12,Oxidase + Peroxidase,independent adjacent,6.2,N,105,x12_adjacent_d6.2_n_a105,0.7362679116430233,0.0456204633735634,2,Oxidase; Peroxidase
fe2778ad,x12,12,Glucose Oxidase + Glutathione Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7861101076701813,0.0390048386967315,2,Glucose Oxidase; Glutathione Peroxidase
5e70a71e,x12,12,Glucose Oxidase + Oxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7861101076701813,0.0390048386967315,2,Glucose Oxidase; Oxidase
86c9b42d,x12,12,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7751991576771755,0.033960599508075,2,Glutathione Peroxidase; Oxidase
70a3aabf,x12,12,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7790965683142885,0.0483842280897297,2,Glutathione Peroxidase; Peroxidase
af170bb7,x12,12,Oxidase + Peroxidase,independent separated,8.8,N,105,x12_separated_d8.8_n_a105,0.7790965683142885,0.0483842280897297,2,Oxidase; Peroxidase
