profile_id,activity,topology,adsorption_energy_ev,activation_metric_ev
8384434b_oxidase,Oxidase,independent separated,-1.107530415603151,0.0
ce640407_catalase,Catalase,independent adjacent,0.2053890445918114,3.7589163330517295
ce640407_oxidase,Oxidase,independent adjacent,-0.9422271234934668,0.3852190489001259
e7823e90_catalase,Catalase,independent adjacent,0.2053890445904471,3.754351382450295
e7823e90_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,0.6927616264561038,3.753744898532205
ec1fc219_glutathione_peroxidase,Glutathione Peroxidase,independent separated,2.39785332722613,0.4276444413089848
ec1fc219_oxidase,Oxidase,independent separated,-1.1073984784268305,0.0
fdf94907_oxidase,Oxidase,independent adjacent,-0.7533694419430503,0.0
fdf94907_peroxidase,Peroxidase,independent adjacent,0.097509716037166,1.3897396085994842
042041a3_glutathione_peroxidase,Glutathione Peroxidase,independent separated,2.374652698776572,0.4617258458229116
042041a3_oxidase,Oxidase,independent separated,-1.1254915695958516,0.0
0b54c61a_glutathione_peroxidase,Glutathione Peroxidase,independent separated,2.56338587421169,3.4545529574015745
0b54c61a_peroxidase,Peroxidase,independent separated,0.6176658711324308,0.7968330306885036
956589f6_oxidase,Oxidase,independent separated,-0.8699029039041761,0.0
956589f6_peroxidase,Peroxidase,independent separated,0.6176658711306118,0.7968425016897527
28e1d313_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.7898026145680888,2.4953701544063733
28e1d313_oxidase,Oxidase,independent adjacent,-0.8958769257301356,0.0
2c7aacac_catalase,Catalase,independent adjacent,0.1150612210512918,3.679167100859104
2c7aacac_oxidase,Oxidase,independent adjacent,-0.8903942557303708,0.0
36b1c272_oxidase,Oxidase,independent adjacent,-0.6465579294194868,0.0783535708428644
36b1c272_peroxidase,Peroxidase,independent adjacent,0.2673663185751138,2.277542730377263
5e70a71e_glucose_oxidase,Glucose Oxidase,independent separated,3.030881722872892,0.0
5e70a71e_oxidase,Oxidase,independent separated,-1.0755716238168134,0.0
70a3aabf_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.645444967822641,3.804713492409064
70a3aabf_peroxidase,Peroxidase,independent separated,-0.3900168931277221,1.2425627244247153
86c9b42d_glutathione_peroxidase,Glutathione Peroxidase,independent separated,1.8428687993841777,2.944670619650424
86c9b42d_oxidase,Oxidase,independent separated,-1.074897120645346,0.0
93feb5ab_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,1.795295473194983,2.6854148484981124
93feb5ab_peroxidase,Peroxidase,independent adjacent,0.2673663185751138,2.277525634268386
a9e31d5e_catalase,Catalase,independent adjacent,0.1150612210494728,3.6899835348085617
a9e31d5e_glutathione_peroxidase,Glutathione Peroxidase,independent adjacent,0.8034872533289672,4.487289315538874
af170bb7_oxidase,Oxidase,independent separated,0.0170584053862512,0.0
af170bb7_peroxidase,Peroxidase,independent separated,-0.3900168931286316,1.2422433455940336
f6a53996_catalase,Catalase,independent adjacent,0.1125164875115842,3.9573959432918855
f6a53996_peroxidase,Peroxidase,independent adjacent,0.1257477360477423,2.0436817613940548
