candidate_id,topology,distance_a,doping,angle_deg
78a36f04,independent separated,13.0,NS,75
830321f8,independent separated,13.0,NS,75
1dce8c74,independent separated,13.0,NS,75
919ccd7b,independent separated,13.0,NS,75
a4f1410e,independent separated,13.0,NS,75
f596df19,independent separated,13.0,NS,75
dadedca1,bridged,8.0,S,105
d55d440b,bridged,8.0,S,105
0d586dda,bridged,8.0,S,105
33f5090f,bridged,8.0,S,105
99c9e8a3,independent adjacent,9.8,NS,105
65f1b705,independent adjacent,9.8,NS,105
3861fc30,independent adjacent,7.0,S,45
83fb28e5,independent adjacent,7.0,S,45
287b9237,bridged,6.2,S,75
40f61d8b,bridged,6.2,S,75
59ee06a3,bridged,6.2,S,75
5bfbeee7,bridged,6.2,S,75
820735e7,bridged,6.2,S,75
c583be02,bridged,6.2,S,75
47008e1f,independent separated,13.0,NS,105
4e3975dc,independent separated,13.0,NS,105
2270131c,independent separated,13.0,NS,105
f7f45691,independent separated,13.0,NS,105
43609ae6,independent separated,13.0,NS,105
8bd9eb2b,independent separated,13.0,NS,105
800a5ee6,independent separated,13.0,NS,105
943889b8,independent separated,13.0,NS,105
527978e9,independent separated,13.0,NS,105
5efb93e0,independent separated,13.0,NS,105
ccdababb,independent separated,13.0,NS,105
f05535a0,independent separated,13.0,NS,105
183f4719,independent separated,13.0,NS,105
6f57fdb3,independent separated,13.0,NS,105
bf72d0e8,independent separated,13.0,NS,105
fda8de88,independent separated,13.0,NS,105
31967c28,independent separated,13.0,NS,105
5a342069,independent separated,13.0,NS,105
6e8d7cbd,independent separated,13.0,NS,105
c86619b2,independent separated,13.0,NS,105
1faba8f9,independent separated,13.0,NS,105
65580183,independent separated,13.0,NS,105
b9ee7011,independent separated,13.0,NS,105
c8e4178b,independent separated,13.0,NS,105
69a0bda6,independent separated,13.0,NS,105
923d957d,independent separated,13.0,NS,105
a9f7bf53,independent separated,13.0,NS,105
dfc95401,independent separated,13.0,NS,105
49d8654f,independent separated,13.0,NS,105
4af72a56,independent separated,13.0,NS,105
a5876604,independent separated,13.0,NS,105
fac043ca,independent separated,13.0,NS,105
e2df0fd2,independent separated,13.0,NS,45
41ea9b1a,independent separated,13.0,NS,45
14da43b0,independent separated,13.0,NS,75
90f59ed8,independent separated,13.0,NS,75
12f8e209,independent separated,13.0,NS,75
e6650af1,independent separated,13.0,NS,75
bb8e562b,independent separated,13.0,NS,75
fdfd6860,independent separated,13.0,NS,75
69363cfc,independent separated,13.0,NS,75
c2e06ea5,independent separated,13.0,NS,75
0da00df8,independent separated,13.0,NS,75
1627eeaf,independent separated,13.0,NS,75
28418c62,independent separated,13.0,NS,75
b747c30a,independent separated,13.0,NS,75
16b9004c,independent separated,13.0,NS,75
89f6b696,independent separated,13.0,NS,75
c6a40341,independent separated,13.0,NS,75
e98a6f21,independent separated,13.0,NS,75
3a71ed17,independent separated,13.0,NS,75
3d0842b0,independent separated,13.0,NS,75
be9451f8,independent separated,13.0,NS,75
e572916b,independent separated,13.0,NS,75
500dcc9a,independent separated,13.0,NS,75
9843432e,independent separated,13.0,NS,75
c462dc2f,independent separated,13.0,NS,75
d15b087a,independent separated,13.0,NS,75
2b9a2411,independent separated,13.0,NS,75
3090753d,independent separated,13.0,NS,75
5c800c3f,independent separated,13.0,NS,75
f27c9bfe,independent separated,13.0,NS,75
6e9c3cb1,independent separated,13.0,NS,75
7e2ac79d,independent separated,13.0,NS,75
857368fa,independent separated,13.0,NS,75
d81cfa42,independent separated,13.0,NS,75
6351872b,independent separated,13.0,NS,105
80c2eafe,independent separated,13.0,NS,105
c62eca05,independent separated,13.0,NS,105
f86e34d1,independent separated,13.0,NS,105
483b02da,independent separated,13.0,NS,105
d57805d3,independent separated,13.0,NS,105
15554d92,independent separated,13.0,NS,105
779659da,independent separated,13.0,NS,105
022ccd24,independent separated,13.0,NS,105
48587e0c,independent separated,13.0,NS,105
5435c51d,independent separated,13.0,NS,105
e9adae1b,independent separated,13.0,NS,105
40f2a0e8,independent separated,13.0,NS,105
8116498d,independent separated,13.0,NS,105
94dcfd67,independent separated,13.0,NS,105
dfd552c6,independent separated,13.0,NS,105
00794632,independent separated,13.0,NS,105
25b5188e,independent separated,13.0,NS,105
b948358d,independent separated,13.0,NS,105
ba41df18,independent separated,13.0,NS,105
12abc2ab,independent separated,13.0,NS,105
92bbfa96,independent separated,13.0,NS,105
b3c635a6,independent separated,13.0,NS,105
c17409f6,independent separated,13.0,NS,105
4b1e1178,independent separated,13.0,NS,105
923d23ca,independent separated,13.0,NS,105
a383b8e4,independent separated,13.0,NS,105
d71aff67,independent separated,13.0,NS,105
b03e841e,independent separated,13.0,NS,105
b86cb42a,independent separated,13.0,NS,105
be3a4d93,independent separated,13.0,NS,105
f5499cc5,independent separated,13.0,NS,105
c5915db8,independent separated,14.6,N,15
4154006c,independent separated,14.6,N,15
0210dc0e,independent separated,14.6,N,15
f2c68f59,independent separated,14.6,N,15
79c287f3,independent separated,8.8,N,45
692acd53,independent separated,8.8,N,45
f3835a85,independent separated,8.8,N,45
